committee_thomas_id,bioguide_id,member_thomas_id,rank,member_name,party,title
HSRU,B001289,02197,8,Bradley Byrne,majority,
HSRU,N000189,02275,9,Dan Newhouse,majority,
HSRU,S000480,01069,1,Louise McIntosh Slaughter,minority,Ranking Member
HSRU,M000312,01504,2,James P. McGovern,minority,
HSRU,H000324,00511,3,Alcee L. Hastings,minority,
HSRU,P000598,01910,4,Jared Polis,minority,
HSFA,R000487,00998,1,Edward R. Royce,majority,Chair
HSFA,S000522,01071,2,Christopher H. Smith,majority,
HSFA,R000435,00985,3,Ileana Ros-Lehtinen,majority,
HSFA,R000409,00979,4,Dana Rohrabacher,majority,
HSFA,C000266,00186,5,Steve Chabot,majority,
HSFA,W000795,01688,6,Joe Wilson,majority,
HSFA,M001157,01804,7,Michael T. McCaul,majority,
HSFA,P000592,01802,8,Ted Poe,majority,
HSFA,S000018,01009,9,Matt Salmon,majority,
HSFA,I000056,01640,10,Darrell E. Issa,majority,
HSFA,M001179,02053,11,Tom Marino,majority,
HSFA,D000615,02057,12,Jeff Duncan,majority,
HSFA,B001274,01987,13,Mo Brooks,majority,
HSFA,C001094,02103,14,Paul Cook,majority,
HSFA,W000814,02161,15,Randy K. Weber Sr.,majority,
HSFA,P000605,02157,16,Scott Perry,majority,
HSFA,D000621,02116,17,Ron DeSantis,majority,
HSFA,M001187,02142,18,Mark Meadows,majority,
HSFA,Y000065,02115,19,Ted S. Yoho,majority,
HSFA,C001102,02200,20,Curt Clawson,majority,
HSFA,D000616,02062,21,Scott DesJarlais,majority,
HSFA,R000587,02073,22,Reid J. Ribble,majority,
HSFA,T000475,02250,23,David A. Trott,majority,
HSFA,Z000017,02261,24,Lee M. Zeldin,majority,
HSFA,D000625,02293,25,Daniel M. Donovan Jr.,majority,
HSFA,E000179,00344,1,Eliot L. Engel,minority,Ranking Member
HSFA,S000344,01526,2,Brad Sherman,minority,
HSFA,M001137,01506,3,Gregory W. Meeks,minority,
HSFA,S001165,01818,4,Albio Sires,minority,
HSFA,C001078,01959,5,Gerald E. Connolly,minority,
HSFA,D000610,01976,6,Theodore E. Deutch,minority,
HSFA,H001038,01794,7,Brian Higgins,minority,
HSFA,B001270,01996,8,Karen Bass,minority,
HSFA,K000375,02025,9,William R. Keating,minority,
HSFA,C001084,02055,10,David N. Cicilline,minority,
HSFA,G000556,01914,11,Alan Grayson,minority,
HSFA,B001287,02102,12,Ami Bera,minority,
HSFA,L000579,02111,13,Alan S. Lowenthal,minority,
HSFA,M001188,02148,14,Grace Meng,minority,
HSFA,F000462,02119,15,Lois Frankel,minority,
HSFA,G000571,02122,16,Tulsi Gabbard,minority,
HSFA,C001091,02163,17,Joaquin Castro,minority,
HSFA,K000385,02190,18,Robin L. Kelly,minority,
HSFA,B001296,02267,19,Brendan F. Boyle,minority,
SSFI10,T000461,02085,1,Patrick J. Toomey,majority,Chairman
SSFI10,G000386,00457,2,Chuck Grassley,majority,
SSFI10,R000307,00968,3,Pat Roberts,majority,
SSFI10,E000285,01542,4,Michael B. Enzi,majority,
SSFI10,B001135,00153,5,Richard Burr,majority,
SSFI10,C000542,00209,6,Daniel Coats,majority,
SSFI10,H001041,01863,7,Dean Heller,majority,
SSFI10,S001184,02056,8,Tim Scott,majority,
SSFI10,H000338,01351,9,Orrin G. Hatch,majority,Ex Officio
SSFI10,S000770,01531,1,Debbie Stabenow,minority,Ranking Member
SSFI10,C000127,00172,2,Maria Cantwell,minority,
SSFI10,M000639,00791,3,Robert Menendez,minority,
SSFI10,C000141,00174,4,Benjamin L. Cardin,minority,
SSFI10,B000944,00136,5,Sherrod Brown,minority,
SSFI10,W000805,01897,6,Mark R. Warner,minority,
SSFI10,W000779,01247,7,Ron Wyden,minority,Ex Officio
HLZI,G000566,02058,1,Trey Gowdy,majority,Chair
HLZI,W000796,01779,2,Lynn A. Westmoreland,majority,
HLZI,J000289,01868,3,Jim Jordan,majority,
HLZI,R000580,01848,4,Peter J. Roskam,majority,
HLZI,P000602,02022,5,Mike Pompeo,majority,
HLZI,R000591,01986,6,Martha Roby,majority,
HLZI,B001284,02129,7,Susan W. Brooks,majority,
HLZI,C000984,00256,1,Elijah E. Cummings,minority,Ranking Member
HLZI,S000510,01528,2,Adam Smith,minority,
HLZI,S001150,01635,3,Adam B. Schiff,minority,
HLZI,S001156,01757,4,Linda T. Sánchez,minority,
HLZI,D000622,02123,5,Tammy Duckworth,minority,
SSEV10,C001047,01676,1,Shelley Moore Capito,majority,Chairman
SSEV10,V000127,01609,2,David Vitter,majority,
SSEV10,B001261,01881,3,John Barrasso,majority,
SSEV10,C000880,00250,4,Mike Crapo,majority,
SSEV10,S001141,01548,5,Jeff Sessions,majority,
SSEV10,W000437,01226,6,Roger F. Wicker,majority,
SSEV10,F000463,02179,7,Deb Fischer,majority,
SSEV10,I000024,00583,8,James M. Inhofe,majority,Ex Officio
SSEV10,C000174,00179,1,Thomas R. Carper,minority,Ranking Member
SSEV10,C000141,00174,2,Benjamin L. Cardin,minority,
SSEV10,S000033,01010,3,Bernard Sanders,minority,
SSEV10,W000802,01823,4,Sheldon Whitehouse,minority,
SSEV10,M001176,01900,5,Jeff Merkley,minority,
SSEV10,M000133,00735,6,Edward J. Markey,minority,
SSEV10,B000711,00116,7,Barbara Boxer,minority,Ex Officio
HSIF16,W000791,01596,1,Greg Walden,majority,Chair
HSIF16,L000566,01885,2,Robert E. Latta,majority,Vice Chair
HSIF16,S000364,01527,3,John Shimkus,majority,
HSIF16,B001243,01748,4,Marsha Blackburn,majority,
HSIF16,S001176,01892,5,Steve Scalise,majority,
HSIF16,L000567,01936,6,Leonard Lance,majority,
HSIF16,G000558,01922,7,Brett Guthrie,majority,
HSIF16,O000168,01955,8,Pete Olson,majority,
HSIF16,P000602,02022,9,Mike Pompeo,majority,
HSIF16,K000378,02014,10,Adam Kinzinger,majority,
HSIF16,B001257,01838,11,Gus M. Bilirakis,majority,
HSIF16,J000292,02046,12,Bill Johnson,majority,
HSIF16,L000576,02033,13,Billy Long,majority,
HSIF16,E000291,02036,14,Renee L. Ellmers,majority,
HSIF16,C001092,02151,15,Chris Collins,majority,
HSIF16,C001096,02144,16,Kevin Cramer,majority,
HSIF16,B000213,00062,17,Joe Barton,majority,
HSIF16,U000031,01177,18,Fred Upton,majority,Ex Officio
HSIF16,E000215,00355,1,Anna G. Eshoo,minority,Ranking Member
HSIF16,D000482,00316,2,Michael F. Doyle,minority,
HSIF16,W000800,01879,3,Peter Welch,minority,
HSIF16,Y000062,01853,4,John A. Yarmuth,minority,
HSIF16,C001067,01864,5,Yvette D. Clarke,minority,
HSIF16,L000565,01846,6,David Loebsack,minority,
HSIF16,R000515,01003,7,Bobby L. Rush,minority,
HSIF16,D000197,01479,8,Diana DeGette,minority,
HSIF16,B001251,01761,9,G. K. Butterfield,minority,
HSIF16,M001163,01814,10,Doris O. Matsui,minority,
HSIF16,M001166,01832,11,Jerry McNerney,minority,
HSIF16,L000570,01939,12,Ben Ray Luján,minority,
HSIF16,P000034,00887,13,Frank Pallone Jr.,minority,Ex Officio
HSJU01,G000566,02058,1,Trey Gowdy,majority,Chair
HSJU01,L000573,02011,2,Raúl R. Labrador,majority,Vice Chair
HSJU01,S000583,01075,3,Lamar Smith,majority,
HSJU01,K000362,01724,4,Steve King,majority,
HSJU01,B001297,02233,5,Ken Buck,majority,
HSJU01,R000601,02268,6,John Ratcliffe,majority,
HSJU01,T000475,02250,7,David A. Trott,majority,
HSJU01,L000397,00701,1,Zoe Lofgren,minority,Ranking Member
HSJU01,G000535,00478,2,Luis V. Gutiérrez,minority,
HSJU01,J000032,00588,3,Sheila Jackson Lee,minority,
HSJU01,P000596,01953,4,Pedro R. Pierluisi,minority,
HSHM05,K000210,00635,1,Peter T. King,majority,Chair
HSHM05,M001150,01731,2,Candice S. Miller,majority,
HSHM05,B001269,02054,3,Lou Barletta,majority,
HSHM05,K000386,02264,4,John Katko,majority,
HSHM05,H001073,02269,5,Will Hurd,majority,
HSHM05,M001157,01804,6,Michael T. McCaul,majority,Ex Officio
HSHM05,H001038,01794,1,Brian Higgins,minority,Ranking Member
HSHM05,K000375,02025,2,William R. Keating,minority,
HSHM05,V000132,02167,3,Filemon Vela,minority,
HSHM05,T000193,01151,4,Bennie G. Thompson,minority,Ex Officio
SSFR02,G000562,01998,1,Cory Gardner,majority,Chairman
SSFR02,R000595,02084,2,Marco Rubio,majority,
SSFR02,J000293,02086,3,Ron Johnson,majority,
SSFR02,I000055,01608,4,Johnny Isakson,majority,
SSFR02,F000444,01633,5,Jeff Flake,majority,
SSFR02,C001071,01825,6,Bob Corker,majority,Ex Officio
SSFR02,C000141,00174,1,Benjamin L. Cardin,minority,Ranking Member
SSFR02,B000711,00116,2,Barbara Boxer,minority,
SSFR02,C001088,01984,3,Christopher A. Coons,minority,
SSFR02,U000039,01567,4,Tom Udall,minority,
SSBK12,H001041,01863,1,Dean Heller,majority,Chairman
SSBK12,T000461,02085,2,Patrick J. Toomey,majority,
SSBK12,C001095,02098,3,Tom Cotton,majority,
SSBK12,R000605,02288,4,Mike Rounds,majority,
SSBK12,S001197,02289,5,Ben Sasse,majority,
SSBK12,M000934,01507,6,Jerry Moran,majority,
SSBK12,S000320,01049,7,Richard C. Shelby,majority,Ex Officio
SSBK12,W000817,02182,1,Elizabeth Warren,minority,Ranking Member
SSBK12,T000464,01829,2,Jon Tester,minority,
SSBK12,M001176,01900,3,Jeff Merkley,minority,
SSBK12,H001069,02174,4,Heidi Heitkamp,minority,
SSBK12,B000944,00136,5,Sherrod Brown,minority,Ex Officio
SSAP,C000567,00213,1,Thad Cochran,majority,Chairman
SSAP,M000355,01395,2,Mitch McConnell,majority,
SSAP,S000320,01049,3,Richard C. Shelby,majority,
SSAP,A000360,01695,4,Lamar Alexander,majority,
SSAP,C001035,01541,5,Susan M. Collins,majority,
SSAP,M001153,01694,6,Lisa Murkowski,majority,
SSAP,G000359,00452,7,Lindsey Graham,majority,
SSAP,K000360,01647,8,Mark Kirk,majority,
SSAP,B000575,01464,9,Roy Blunt,majority,
SSAP,M000934,01507,10,Jerry Moran,majority,
SSAP,H001061,02079,11,John Hoeven,majority,
SSAP,B001236,01687,12,John Boozman,majority,
SSAP,C001047,01676,13,Shelley Moore Capito,majority,
SSAP,C001075,01925,14,Bill Cassidy,majority,
SSAP,L000575,02050,15,James Lankford,majority,
SSAP,D000618,02138,16,Steve Daines,majority,
SSAP,M000702,00802,1,Barbara A. Mikulski,minority,Ranking Member
SSAP,L000174,01383,2,Patrick J. Leahy,minority,
SSAP,M001111,01409,3,Patty Murray,minority,
SSAP,F000062,01332,4,Dianne Feinstein,minority,
SSAP,D000563,00326,5,Richard J. Durbin,minority,
SSAP,R000122,00949,6,Jack Reed,minority,
SSAP,T000464,01829,7,Jon Tester,minority,
SSAP,U000039,01567,8,Tom Udall,minority,
SSAP,S001181,01901,9,Jeanne Shaheen,minority,
SSAP,M001176,01900,10,Jeff Merkley,minority,
SSAP,C001088,01984,11,Christopher A. Coons,minority,
SSAP,S001194,02173,12,Brian Schatz,minority,
SSAP,B001230,01558,13,Tammy Baldwin,minority,
SSAP,M001169,01837,14,Christopher Murphy,minority,
HSII06,L000564,01834,1,Doug Lamborn,majority,Chair
HSII06,G000552,01801,2,Louie Gohmert,majority,
HSII06,W000804,01886,3,Robert J. Wittman,majority,
HSII06,F000456,01924,4,John Fleming,majority,
HSII06,T000467,01952,5,Glenn Thompson,majority,
HSII06,L000571,01960,6,Cynthia M. Lummis,majority,
HSII06,B001271,02027,7,Dan Benishek,majority,
HSII06,D000615,02057,8,Jeff Duncan,majority,
HSII06,G000565,01992,9,Paul A. Gosar,majority,
HSII06,L000573,02011,10,Raúl R. Labrador,majority,
HSII06,C001094,02103,11,Paul Cook,majority,
HSII06,G000577,02245,12,Garret Graves,majority,
HSII06,Z000018,02254,13,Ryan K. Zinke,majority,
HSII06,H001071,02237,14,Jody B. Hice,majority,
HSII06,M001195,02277,15,Alexander X. Mooney,majority,
HSII06,H001070,02260,16,Cresent Hardy,majority,
HSII06,B001250,01753,17,Rob Bishop,majority,Ex Officio
HSII06,L000579,02111,1,Alan S. Lowenthal,minority,Ranking Member
HSII06,C001059,01774,2,Jim Costa,minority,
HSII06,T000465,01884,3,Niki Tsongas,minority,
HSII06,C001090,02159,4,Matt Cartwright,minority,
HSII06,B001292,02272,5,Donald S. Beyer Jr.,minority,
HSII06,G000574,02226,6,Ruben Gallego,minority,
HSII06,C001036,01471,7,Lois Capps,minority,
HSII06,P000598,01910,8,Jared Polis,minority,
HSII06,G000551,01708,15,Raúl M. Grijalva,minority,Ex Officio
HSSY20,W000814,02161,1,Randy K. Weber Sr.,majority,Chair
HSSY20,R000409,00979,2,Dana Rohrabacher,majority,
HSSY20,N000182,01758,3,Randy Neugebauer,majority,
HSSY20,B001274,01987,4,Mo Brooks,majority,
HSSY20,H001059,02015,5,Randy Hultgren,majority,
HSSY20,M001184,02094,6,Thomas Massie,majority,
HSSY20,K000387,02228,7,Stephen Knight,majority,Vice Chair
HSSY20,C001105,02273,8,Barbara Comstock,majority,
HSSY20,L000583,02238,9,Barry Loudermilk,majority,
HSSY20,S000583,01075,10,Lamar Smith,majority,Ex Officio
HSSY20,G000556,01914,1,Alan Grayson,minority,Ranking Member
HSSY20,S001193,02104,2,Eric Swalwell,minority,
HSSY20,V000131,02166,3,Marc A. Veasey,minority,
HSSY20,L000563,01781,4,Daniel Lipinski,minority,
HSSY20,C001101,02196,5,Katherine M. Clark,minority,
HSSY20,P000593,01835,6,Ed Perlmutter,minority,
HSSY20,J000126,00599,7,Eddie Bernice Johnson,minority,Ex Officio
HSAP24,G000560,01979,1,Tom Graves,majority,Chair
HSAP24,A000369,02090,2,Mark E. Amodei,majority,Vice Chair
HSAP24,R000589,02068,3,E. Scott Rigell,majority,
HSAP24,J000297,02278,4,Evan H. Jenkins,majority,
HSAP24,P000601,02035,5,Steven M. Palazzo,majority,
HSAP24,W000797,01777,1,Debbie Wasserman Schultz,minority,Ranking Member
HSAP24,F000030,00368,2,Sam Farr,minority,
HSAP24,M001143,01653,3,Betty McCollum,minority,
SSAS20,F000463,02179,1,Deb Fischer,majority,Chairman
SSAS20,A000368,02075,2,Kelly Ayotte,majority,
SSAS20,C001095,02098,3,Tom Cotton,majority,
SSAS20,E000295,02283,4,Joni Ernst,majority,
SSAS20,T000476,02291,5,Thom Tillis,majority,
SSAS20,G000359,00452,6,Lindsey Graham,majority,
SSAS20,C001098,02175,7,Ted Cruz,majority,
SSAS20,M000303,00754,8,John McCain,majority,Ex Officio
SSAS20,N000032,00859,1,Bill Nelson,minority,Ranking Member
SSAS20,M001183,01983,2,"Joe Manchin, III",minority,
SSAS20,S001181,01901,3,Jeanne Shaheen,minority,
SSAS20,G000555,01866,4,Kirsten E. Gillibrand,minority,
SSAS20,D000607,01850,5,Joe Donnelly,minority,
SSAS20,K000384,02176,6,Tim Kaine,minority,
SSAS20,R000122,00949,7,Jack Reed,minority,Ex Officio
SSGA01,P000449,00924,1,Rob Portman,majority,Chairman
SSGA01,M000303,00754,2,John McCain,majority,
SSGA01,P000603,02082,3,Rand Paul,majority,
SSGA01,L000575,02050,4,James Lankford,majority,
SSGA01,A000368,02075,5,Kelly Ayotte,majority,
SSGA01,S001197,02289,6,Ben Sasse,majority,
SSGA01,J000293,02086,7,Ron Johnson,majority,Ex Officio
SSGA01,M001170,01820,1,Claire McCaskill,minority,Ranking Member
SSGA01,T000464,01829,2,Jon Tester,minority,
SSGA01,B001230,01558,3,Tammy Baldwin,minority,
SSGA01,H001069,02174,4,Heidi Heitkamp,minority,
SSGA01,C000174,00179,5,Thomas R. Carper,minority,Ex Officio
JCSE,W000437,01226,1,Roger F. Wicker,majority,Cochairman
JCSE,B001135,00153,2,Richard Burr,majority,
JCSE,B001236,01687,3,John Boozman,majority,
JCSE,C000141,00174,1,Benjamin L. Cardin,minority,
JCSE,W000802,01823,2,Sheldon Whitehouse,minority,
JCSE,U000039,01567,3,Tom Udall,minority,
JCSE,S001181,01901,4,Jeanne Shaheen,minority,
JCSE,S000522,01071,1,Christopher H. Smith,majority,Co-Chairman
JCSE,P000373,01514,2,Joseph R. Pitts,majority,
JCSE,A000055,01460,3,Robert Aderholt,majority,
JCSE,B001248,01751,4,Michael C. Burgess,majority,
JCSE,H000324,00511,1,Alcee L. Hastings,minority,
JCSE,S000480,01069,2,Louise McIntosh Slaughter,minority,
JCSE,C001068,01878,3,Steve Cohen,minority,
SSAP16,S000320,01049,1,Richard C. Shelby,majority,Chairman
SSAP16,A000360,01695,2,Lamar Alexander,majority,
SSAP16,M001153,01694,3,Lisa Murkowski,majority,
SSAP16,C001035,01541,4,Susan M. Collins,majority,
SSAP16,G000359,00452,5,Lindsey Graham,majority,
SSAP16,K000360,01647,6,Mark Kirk,majority,
SSAP16,B001236,01687,7,John Boozman,majority,
SSAP16,C001047,01676,8,Shelley Moore Capito,majority,
SSAP16,L000575,02050,9,James Lankford,majority,
SSAP16,C000567,00213,10,Thad Cochran,majority,Ex Officio
SSAP16,M000702,00802,1,Barbara A. Mikulski,minority,Ranking Member
SSAP16,L000174,01383,2,Patrick J. Leahy,minority,
SSAP16,F000062,01332,3,Dianne Feinstein,minority,
SSAP16,R000122,00949,4,Jack Reed,minority,
SSAP16,S001181,01901,5,Jeanne Shaheen,minority,
SSAP16,C001088,01984,6,Christopher A. Coons,minority,
SSAP16,B001230,01558,7,Tammy Baldwin,minority,
SSAP16,M001169,01837,8,Christopher Murphy,minority,
HSBA20,H001058,02028,1,Bill Huizenga,majority,Chair
HSBA20,M001182,02059,2,Mick Mulvaney,majority,Vice Chair
HSBA20,L000491,00711,3,Frank D. Lucas,majority,
HSBA20,P000588,01738,4,Stevan Pearce,majority,
HSBA20,W000796,01779,5,Lynn A. Westmoreland,majority,
HSBA20,S001188,01981,6,Marlin A. Stutzman,majority,
HSBA20,P000606,02141,7,Robert Pittenger,majority,
HSBA20,M001189,02130,8,Luke Messer,majority,
HSBA20,S001183,01994,9,David Schweikert,majority,
HSBA20,G000570,02038,10,Frank C. Guinta,majority,
HSBA20,L000584,02271,11,Mia B. Love,majority,
HSBA20,E000294,02253,12,Tom Emmer,majority,
HSBA20,H001036,01749,13,Jeb Hensarling,majority,Ex Officio
HSBA20,M001160,01811,1,Gwen Moore,minority,Ranking Member
HSBA20,F000454,01888,2,Bill Foster,minority,
HSBA20,P000593,01835,3,Ed Perlmutter,minority,
HSBA20,H001047,01913,4,James A. Himes,minority,
HSBA20,C001083,01999,5,John C. Carney Jr.,minority,
HSBA20,S001185,01988,6,Terri A. Sewell,minority,
HSBA20,M001191,02117,7,Patrick Murphy,minority,
HSBA20,K000380,02134,8,Daniel T. Kildee,minority,
HSBA20,H001064,02170,9,Denny Heck,minority,
HSBA20,W000187,01205,10,Maxine Waters,minority,Ex Officio
SSBK04,C000880,00250,1,Mike Crapo,majority,Chairman
SSBK04,C001071,01825,2,Bob Corker,majority,
SSBK04,V000127,01609,3,David Vitter,majority,
SSBK04,T000461,02085,4,Patrick J. Toomey,majority,
SSBK04,K000360,01647,5,Mark Kirk,majority,
SSBK04,S001184,02056,6,Tim Scott,majority,
SSBK04,S001197,02289,7,Ben Sasse,majority,
SSBK04,M000934,01507,8,Jerry Moran,majority,
SSBK04,S000320,01049,9,Richard C. Shelby,majority,Ex Officio
SSBK04,W000805,01897,1,Mark R. Warner,minority,Ranking Member
SSBK04,R000122,00949,2,Jack Reed,minority,
SSBK04,S000148,01036,3,Charles E. Schumer,minority,
SSBK04,M000639,00791,4,Robert Menendez,minority,
SSBK04,T000464,01829,5,Jon Tester,minority,
SSBK04,W000817,02182,6,Elizabeth Warren,minority,
SSBK04,D000607,01850,7,Joe Donnelly,minority,
SSBK04,B000944,00136,8,Sherrod Brown,minority,Ex Officio
HSWM06,R000580,01848,1,Peter J. Roskam,majority,Chair
HSWM06,K000376,02051,2,Mike Kelly,majority,
HSWM06,M001181,02052,3,Patrick Meehan,majority,
HSWM06,H001065,02143,4,George Holding,majority,
HSWM06,S001195,02191,5,Jason Smith,majority,
HSWM06,N000184,02060,6,Kristi L. Noem,majority,
HSWM06,R000586,02048,7,James B. Renacci,majority,
HSWM06,L000287,00688,1,John Lewis,minority,Ranking Member
HSWM06,C001038,01604,2,Joseph Crowley,minority,
HSWM06,R000053,00944,3,Charles B. Rangel,minority,
HSWM06,D000399,00303,4,Lloyd Doggett,minority,
HSAP01,A000055,01460,1,Robert B. Aderholt,majority,Chair
HSAP01,Y000063,02021,2,Kevin Yoder,majority,
HSAP01,R000583,01916,3,Thomas J. Rooney,majority,
HSAP01,V000129,02105,4,David G. Valadao,majority,Vice Chair
HSAP01,H001052,02026,5,Andy Harris,majority,
HSAP01,Y000066,02242,6,David Young,majority,
HSAP01,P000601,02035,7,Steven M. Palazzo,majority,
HSAP01,F000030,00368,1,Sam Farr,minority,Ranking Member
HSAP01,D000216,00281,2,Rosa L. DeLauro,minority,
HSAP01,B000490,00091,3,Sanford D. Bishop Jr.,minority,
HSAP01,P000597,01927,4,Chellie Pingree,minority,
HSED10,W000798,01855,1,Tim Walberg,majority,Chair
HSED10,H001048,01909,2,Duncan Hunter,majority,
HSED10,T000467,01952,3,Glenn Thompson,majority,
HSED10,R000592,02017,4,Todd Rokita,majority,
HSED10,B001290,02203,5,Dave Brat,majority,
HSED10,B001293,02249,6,Mike Bishop,majority,
