code,bioguide_id,party,thomas_id,title,member_name,rank
HSHM11,S000583,majority,01075,,Lamar Smith,2
HSHM11,R000575,majority,01704,,Mike Rogers,3
HSHM11,D000615,majority,02057,,Jeff Duncan,4
HSHM11,B001269,majority,02054,,Lou Barletta,5
HSHM11,H001073,majority,02269,,Will Hurd,6
HSHM11,M001197,majority,02225,,Martha McSally,7
HSHM11,M001157,majority,01804,Ex Officio,Michael T. McCaul,8
HSHM11,V000132,minority,02167,Ranking Member,Filemon Vela,1
HSHM11,S000030,minority,01522,,Loretta Sanchez,2
HSHM11,J000032,minority,00588,,Sheila Jackson Lee,3
HSHM11,H001038,minority,01794,,Brian Higgins,4
HSHM11,T000474,minority,02231,,Norma J. Torres,5
HSHM11,T000193,minority,01151,Ex Officio,Bennie G. Thompson,6
HSSM27,R000597,majority,02160,Chair,Tom Rice,1
HSSM27,H001051,majority,02044,,Richard L. Hanna,2
HSSM27,H001057,majority,02020,,Tim Huelskamp,3
HSSM27,B001290,majority,02203,,Dave Brat,4
HSSM27,R000600,majority,02222,,Aumua Amata Coleman Radewagen,5
HSSM27,K000388,majority,02294,,Trent Kelly,6
HSSM27,C001080,minority,01970,Ranking Member,Judy Chu,1
SSAF17,S001197,majority,02289,Chairman,Ben Sasse,1
SSAF17,M000355,majority,01395,,Mitch McConnell,2
SSAF17,E000295,majority,02283,,Joni Ernst,3
SSAF17,T000476,majority,02291,,Thom Tillis,4
SSAF17,T000250,majority,01534,,John Thune,5
SSAF17,G000386,majority,00457,,Chuck Grassley,6
SSAF17,R000307,majority,00968,Ex Officio,Pat Roberts,7
SSAF17,G000555,minority,01866,Ranking Member,Kirsten E. Gillibrand,1
SSAF17,L000174,minority,01383,,Patrick J. Leahy,2
SSAF17,K000367,minority,01826,,Amy Klobuchar,3
SSAF17,D000607,minority,01850,,Joe Donnelly,4
SSAF17,C001070,minority,01828,,"Robert P. Casey, Jr.",5
SSAF17,S000770,minority,01531,Ex Officio,Debbie Stabenow,6
HSAP24,G000560,majority,01979,Chair,Tom Graves,1
HSAP24,A000369,majority,02090,Vice Chair,Mark E. Amodei,2
HSAP24,R000589,majority,02068,,E. Scott Rigell,3
HSAP24,J000297,majority,02278,,Evan H. Jenkins,4
HSAP24,P000601,majority,02035,,Steven M. Palazzo,5
HSAP24,W000797,minority,01777,Ranking Member,Debbie Wasserman Schultz,1
HSAP24,F000030,minority,00368,,Sam Farr,2
HSAP24,M001143,minority,01653,,Betty McCollum,3
SSEG03,B001261,majority,01881,Chairman,John Barrasso,1
SSEG03,C001047,majority,01676,,Shelley Moore Capito,2
SSEG03,R000584,majority,01896,,James E. Risch,3
SSEG03,L000577,majority,02080,,Mike Lee,4
SSEG03,D000618,majority,02138,,Steve Daines,5
SSEG03,C001075,majority,01925,,Bill Cassidy,6
SSEG03,G000562,majority,01998,,Cory Gardner,7
SSEG03,H001061,majority,02079,,John Hoeven,8
SSEG03,F000444,majority,01633,,Jeff Flake,9
SSEG03,A000360,majority,01695,,Lamar Alexander,10
SSEG03,M001153,majority,01694,Ex Officio,Lisa Murkowski,11
SSEG03,W000779,minority,01247,Ranking Member,Ron Wyden,1
SSEG03,S000770,minority,01531,,Debbie Stabenow,2
SSEG03,F000457,minority,01969,,Al Franken,3
SSEG03,M001183,minority,01983,,"Joe Manchin, III",4
SSEG03,H001046,minority,01937,,Martin Heinrich,5
SSEG03,H001042,minority,01844,,Mazie K. Hirono,6
SSEG03,W000817,minority,02182,,Elizabeth Warren,7
SSEG03,C000127,minority,00172,Ex Officio,Maria Cantwell,8
HSSY20,W000814,majority,02161,Chair,Randy K. Weber Sr.,1
HSSY20,R000409,majority,00979,,Dana Rohrabacher,2
HSSY20,N000182,majority,01758,,Randy Neugebauer,3
HSSY20,B001274,majority,01987,,Mo Brooks,4
HSSY20,H001059,majority,02015,,Randy Hultgren,5
HSSY20,M001184,majority,02094,,Thomas Massie,6
HSSY20,K000387,majority,02228,Vice Chair,Stephen Knight,7
HSSY20,C001105,majority,02273,,Barbara Comstock,8
HSSY20,L000583,majority,02238,,Barry Loudermilk,9
HSSY20,S000583,majority,01075,Ex Officio,Lamar Smith,10
HSSY20,G000556,minority,01914,Ranking Member,Alan Grayson,1
HSSY20,S001193,minority,02104,,Eric Swalwell,2
HSSY20,V000131,minority,02166,,Marc A. Veasey,3
HSSY20,L000563,minority,01781,,Daniel Lipinski,4
HSSY20,C001101,minority,02196,,Katherine M. Clark,5
HSSY20,P000593,minority,01835,,Ed Perlmutter,6
HSSY20,J000126,minority,00599,Ex Officio,Eddie Bernice Johnson,7
HSAP10,S001148,majority,01590,Chair,Michael K. Simpson,1
HSAP10,F000372,majority,00414,,Rodney P. Frelinghuysen,2
HSAP10,C000059,majority,00165,,Ken Calvert,3
HSAP10,F000459,majority,02061,Vice Chair,"Charles J. ""Chuck"" Fleischmann",4
HSAP10,F000449,majority,01793,,Jeff Fortenberry,5
HSAP10,G000377,majority,01487,,Kay Granger,6
HSAP10,H001056,majority,02071,,Jaime Herrera Beutler,7
HSAP10,V000129,majority,02105,,David G. Valadao,8
HSAP10,K000009,minority,00616,Ranking Member,Marcy Kaptur,1
HSAP10,V000108,minority,01188,,Peter J. Visclosky,2
HSAP10,H001034,minority,01634,,Michael M. Honda,3
HSAP10,R000486,minority,00997,,Lucille Roybal-Allard,4
HLIG02,W000796,majority,01779,Chair,Lynn A. Westmoreland,1
HLIG02,M001144,majority,01685,,Jeff Miller,2
HLIG02,C001062,majority,01805,,K. Michael Conaway,3
HLIG02,K000210,majority,00635,,Peter T. King,4
HLIG02,P000602,majority,02022,,Mike Pompeo,5
HLIG02,R000435,majority,00985,,Ileana Ros-Lehtinen,6
HLIG02,H001047,minority,01913,Ranking Member,James A. Himes,1
HLIG02,S001175,minority,01890,,Jackie Speier,2
HLIG02,Q000023,minority,01967,,Mike Quigley,3
HLIG02,M001191,minority,02117,,Patrick Murphy,4
HSED10,W000798,majority,01855,Chair,Tim Walberg,1
HSED10,H001048,majority,01909,,Duncan Hunter,2
HSED10,T000467,majority,01952,,Glenn Thompson,3
HSED10,R000592,majority,02017,,Todd Rokita,4
HSED10,B001290,majority,02203,,Dave Brat,5
HSED10,B001293,majority,02249,,Mike Bishop,6
HSED10,R000604,majority,02265,,Steve Russell,7
HSED10,S001196,majority,02263,,Elise M. Stefanik,8
HSED10,W000808,minority,02004,Ranking Member,Frederica S. Wilson,1
HSED10,P000607,minority,02171,,Mark Pocan,2
HSED10,C001101,minority,02196,,Katherine M. Clark,3
HSED10,A000370,minority,02201,,Alma S. Adams,4
HSED10,D000623,minority,02227,,Mark DeSaulnier,5
HSED10,F000455,minority,01895,,Marcia L. Fudge,6
HSPW07,H001048,majority,01909,Chair,Duncan Hunter,1
HSPW07,Y000033,majority,01256,,Don Young,2
HSPW07,L000554,majority,00699,,Frank A. LoBiondo,3
HSPW07,G000563,majority,02049,,Bob Gibbs,4
HSPW07,S000051,majority,01012,,Mark Sanford,5
HSPW07,G000577,majority,02245,,Garret Graves,6
HSPW07,C001107,majority,02235,,Carlos Curbelo,7
HSPW07,R000603,majority,02256,,David Rouzer,8
HSPW07,Z000017,majority,02261,,Lee M. Zeldin,9
HSPW07,S001154,majority,01681,Ex Officio,Bill Shuster,10
HSPW07,G000559,minority,01973,Ranking Member,John Garamendi,1
HSPW07,C000984,minority,00256,,Elijah E. Cummings,2
HSPW07,B000911,minority,00132,,Corrine Brown,3
HSPW07,H001063,minority,02089,,Janice Hahn,4
HSPW07,F000462,minority,02119,,Lois Frankel,5
HSPW07,B001285,minority,02106,,Julia Brownley,6
HSPW07,D000191,minority,00279,Ex Officio,Peter A. DeFazio,7
HSFA13,R000435,majority,00985,Chair,Ileana Ros-Lehtinen,1
HSFA13,C000266,majority,00186,,Steve Chabot,2
HSFA13,W000795,majority,01688,,Joe Wilson,3
HSFA13,I000056,majority,01640,,Darrell E. Issa,4
HSFA13,W000814,majority,02161,,Randy K. Weber Sr.,5
HSFA13,D000621,majority,02116,,Ron DeSantis,6
HSFA13,M001187,majority,02142,,Mark Meadows,7
HSFA13,Y000065,majority,02115,,Ted S. Yoho,8
HSFA13,C001102,majority,02200,,Curt Clawson,9
HSFA13,T000475,majority,02250,,David A. Trott,10
HSFA13,Z000017,majority,02261,,Lee M. Zeldin,11
HSFA13,D000610,minority,01976,Ranking Member,Theodore E. Deutch,1
HSFA13,C001078,minority,01959,,Gerald E. Connolly,2
HSFA13,H001038,minority,01794,,Brian Higgins,3
HSFA13,C001084,minority,02055,,David N. Cicilline,4
HSFA13,G000556,minority,01914,,Alan Grayson,5
HSFA13,M001188,minority,02148,,Grace Meng,6
HSFA13,F000462,minority,02119,,Lois Frankel,7
HSFA13,B001296,minority,02267,,Brendan F. Boyle,8
HSFA05,S000018,majority,01009,Chair,Matt Salmon,1
HSFA05,R000409,majority,00979,,Dana Rohrabacher,2
HSFA05,C000266,majority,00186,,Steve Chabot,3
HSFA05,M001179,majority,02053,,Tom Marino,4
HSFA05,D000615,majority,02057,,Jeff Duncan,5
HSFA05,B001274,majority,01987,,Mo Brooks,6
HSFA05,P000605,majority,02157,,Scott Perry,7
HSFA05,D000616,majority,02062,,Scott DesJarlais,8
HSFA05,S000344,minority,01526,Ranking Member,Brad Sherman,1
HSFA05,B001287,minority,02102,,Ami Bera,2
HSFA05,G000571,minority,02122,,Tulsi Gabbard,3
HSFA05,L000579,minority,02111,,Alan S. Lowenthal,4
HSFA05,C001078,minority,01959,,Gerald E. Connolly,5
HSFA05,M001188,minority,02148,,Grace Meng,6
JSTX,H000338,majority,01351,Vice Chairman,Orrin G. Hatch,1
JSTX,G000386,majority,00457,,Chuck Grassley,2
JSTX,C000880,majority,00250,,Mike Crapo,3
JSTX,W000779,minority,01247,,Ron Wyden,1
JSTX,S000770,minority,01531,,Debbie Stabenow,2
JSTX,R000570,majority,01560,Chairman,Paul Ryan,1
JSTX,J000174,majority,00603,,Sam Johnson,2
JSTX,B000755,majority,01468,,Kevin Brady,3
JSTX,L000263,minority,00683,,Sander Levin,1
JSTX,R000053,minority,00944,,Charles Rangel,2
SSBK12,H001041,majority,01863,Chairman,Dean Heller,1
SSBK12,T000461,majority,02085,,Patrick J. Toomey,2
SSBK12,C001095,majority,02098,,Tom Cotton,3
SSBK12,R000605,majority,02288,,Mike Rounds,4
SSBK12,S001197,majority,02289,,Ben Sasse,5
SSBK12,M000934,majority,01507,,Jerry Moran,6
SSBK12,S000320,majority,01049,Ex Officio,Richard C. Shelby,7
SSBK12,W000817,minority,02182,Ranking Member,Elizabeth Warren,1
SSBK12,T000464,minority,01829,,Jon Tester,2
SSBK12,M001176,minority,01900,,Jeff Merkley,3
SSBK12,H001069,minority,02174,,Heidi Heitkamp,4
SSBK12,B000944,minority,00136,Ex Officio,Sherrod Brown,5
SSAP,C000567,majority,00213,Chairman,Thad Cochran,1
SSAP,M000355,majority,01395,,Mitch McConnell,2
SSAP,S000320,majority,01049,,Richard C. Shelby,3
SSAP,A000360,majority,01695,,Lamar Alexander,4
SSAP,C001035,majority,01541,,Susan M. Collins,5
SSAP,M001153,majority,01694,,Lisa Murkowski,6
SSAP,G000359,majority,00452,,Lindsey Graham,7
SSAP,K000360,majority,01647,,Mark Kirk,8
SSAP,B000575,majority,01464,,Roy Blunt,9
SSAP,M000934,majority,01507,,Jerry Moran,10
SSAP,H001061,majority,02079,,John Hoeven,11
SSAP,B001236,majority,01687,,John Boozman,12
SSAP,C001047,majority,01676,,Shelley Moore Capito,13
SSAP,C001075,majority,01925,,Bill Cassidy,14
SSAP,L000575,majority,02050,,James Lankford,15
SSAP,D000618,majority,02138,,Steve Daines,16
SSAP,M000702,minority,00802,Ranking Member,Barbara A. Mikulski,1
SSAP,L000174,minority,01383,,Patrick J. Leahy,2
SSAP,M001111,minority,01409,,Patty Murray,3
SSAP,F000062,minority,01332,,Dianne Feinstein,4
SSAP,D000563,minority,00326,,Richard J. Durbin,5
SSAP,R000122,minority,00949,,Jack Reed,6
SSAP,T000464,minority,01829,,Jon Tester,7
SSAP,U000039,minority,01567,,Tom Udall,8
SSAP,S001181,minority,01901,,Jeanne Shaheen,9
SSAP,M001176,minority,01900,,Jeff Merkley,10
SSAP,C001088,minority,01984,,Christopher A. Coons,11
SSAP,S001194,minority,02173,,Brian Schatz,12
SSAP,B001230,minority,01558,,Tammy Baldwin,13
SSAP,M001169,minority,01837,,Christopher Murphy,14
SSHR09,P000603,majority,02082,Chairman,Rand Paul,1
SSHR09,M001153,majority,01694,,Lisa Murkowski,2
SSHR09,B001135,majority,00153,,Richard Burr,3
SSHR09,K000360,majority,01647,,Mark Kirk,4
SSHR09,H000338,majority,01351,,Orrin G. Hatch,5
SSHR09,R000307,majority,00968,,Pat Roberts,6
SSHR09,C001075,majority,01925,,Bill Cassidy,7
SSHR09,A000360,majority,01695,Ex Officio,Lamar Alexander,8
SSHR09,C001070,minority,01828,Ranking Member,"Robert P. Casey, Jr.",1
SSHR09,M000702,minority,00802,,Barbara A. Mikulski,2
SSHR09,S000033,minority,01010,,Bernard Sanders,3
SSHR09,F000457,minority,01969,,Al Franken,4
SSHR09,B001267,minority,01965,,Michael F. Bennet,5
SSHR09,M001111,minority,01409,Ex Officio,Patty Murray,6
HSSY21,L000583,majority,02238,Chair,Barry Loudermilk,1
HSSY21,S000244,majority,01041,,F. James Sensenbrenner Jr.,2
HSSY21,P000599,majority,01915,,Bill Posey,3
HSSY21,M001184,majority,02094,,Thomas Massie,4
HSSY21,J000292,majority,02046,Vice Chair,Bill Johnson,5
HSSY21,N000189,majority,02275,,Dan Newhouse,6
HSSY21,S000583,majority,01075,Ex Officio,Lamar Smith,7
HSSY21,B001292,minority,02272,Ranking Member,Donald S. Beyer Jr.,1
HSSY21,G000556,minority,01914,,Alan Grayson,2
HSSY21,L000397,minority,00701,,Zoe Lofgren,3
HSSY21,J000126,minority,00599,Ex Officio,Eddie Bernice Johnson,5
HSSY18,B001283,majority,02155,Chair,Jim Bridenstine,1
HSSY18,S000244,majority,01041,,F. James Sensenbrenner Jr.,2
HSSY18,N000182,majority,01758,,Randy Neugebauer,3
HSSY18,W000814,majority,02161,,Randy K. Weber Sr.,4
HSSY18,M001194,majority,02248,,John R. Moolenaar,5
HSSY18,B001291,majority,02270,,Brian Babin,6
HSSY18,W000821,majority,02224,Vice Chair,Bruce Westerman,7
HSSY18,P000609,majority,02221,,Gary J. Palmer,8
HSSY18,A000374,majority,02244,,Ralph Lee Abraham,9
HSSY18,S000583,majority,01075,Ex Officio,Lamar Smith,10
HSSY18,B001278,minority,02092,Ranking Member,Suzanne Bonamici,1
HSSY18,E000290,minority,01894,,Donna F. Edwards,2
HSSY18,G000556,minority,01914,,Alan Grayson,3
HSSY18,B001287,minority,02102,,Ami Bera,4
HSSY18,T000472,minority,02110,,Mark Takano,5
HSSY18,F000454,minority,01888,,Bill Foster,6
HSSY18,J000126,minority,00599,Ex Officio,Eddie Bernice Johnson,7
SSFR09,F000444,majority,01633,Chairman,Jeff Flake,1
SSFR09,I000055,majority,01608,,Johnny Isakson,2
SSFR09,P000603,majority,02082,,Rand Paul,3
SSFR09,B001261,majority,01881,,John Barrasso,4
SSFR09,R000595,majority,02084,,Marco Rubio,5
SSFR09,C001071,majority,01825,Ex Officio,Bob Corker,6
SSFR09,M000133,minority,00735,Ranking Member,Edward J. Markey,1
SSFR09,C001088,minority,01984,,Christopher A. Coons,2
SSFR09,U000039,minority,01567,,Tom Udall,3
SSFR09,C000141,minority,00174,,Benjamin L. Cardin,4
JSPR,B000575,majority,01464,Vice Chairman,Roy Blunt,1
JSPR,R000307,majority,00968,,Pat Roberts,2
JSPR,B001236,majority,01687,,John Boozman,3
JSPR,S000148,minority,01036,,Charles E. Schumer,1
JSPR,U000039,minority,01567,,Tom Udall,2
JSPR,H001045,majority,01933,Vice Chairman,Gregg Harper,1
JSPR,M001150,majority,01731,,Candice S. Miller,2
JSPR,N000185,majority,02001,,Richard B. Nugent,3
JSPR,B001227,minority,01469,,Robert A. Brady,1
JSPR,V000130,minority,02112,,Juan Vargas,2
HSII,B001250,majority,01753,Chair,Rob Bishop,1
HSII,Y000033,majority,01256,,Don Young,2
HSII,G000552,majority,01801,,Louie Gohmert,3
HSII,L000564,majority,01834,,Doug Lamborn,4
HSII,W000804,majority,01886,,Robert J. Wittman,5
HSII,F000456,majority,01924,,John Fleming,6
HSII,M001177,majority,01908,,Tom McClintock,7
HSII,T000467,majority,01952,,Glenn Thompson,8
HSII,L000571,majority,01960,,Cynthia M. Lummis,9
HSII,B001271,majority,02027,,Dan Benishek,10
HSII,D000615,majority,02057,,Jeff Duncan,11
HSII,G000565,majority,01992,,Paul A. Gosar,12
HSII,L000573,majority,02011,,Raúl R. Labrador,13
HSII,L000578,majority,02100,,Doug LaMalfa,14
HSII,D000612,majority,01995,,Jeff Denham,15
HSII,C001094,majority,02103,,Paul Cook,16
HSII,W000821,majority,02224,,Bruce Westerman,17
HSII,G000577,majority,02245,,Garret Graves,18
HSII,N000189,majority,02275,,Dan Newhouse,19
HSII,Z000018,majority,02254,,Ryan K. Zinke,20
HSII,H001071,majority,02237,,Jody B. Hice,21
HSII,R000600,majority,02222,,Aumua Amata Coleman Radewagen,22
HSII,M001193,majority,02258,,Thomas MacArthur,23
HSII,M001195,majority,02277,,Alexander X. Mooney,24
HSII,H001070,majority,02260,,Cresent Hardy,25
HSII,G000551,minority,01708,Ranking Member,Raúl M. Grijalva,1
HSII,N000179,minority,01602,,Grace F. Napolitano,2
HSII,B001245,minority,01723,,Madeleine Z. Bordallo,3
HSII,C001059,minority,01774,,Jim Costa,4
HSII,S001177,minority,01962,,Gregorio Kilili Camacho Sablan,5
HSII,T000465,minority,01884,,Niki Tsongas,6
HSII,P000596,minority,01953,,Pedro R. Pierluisi,7
HSII,H001068,minority,02101,,Jared Huffman,8
HSII,R000599,minority,02109,,Raul Ruiz,9
HSII,L000579,minority,02111,,Alan S. Lowenthal,10
HSII,C001090,minority,02159,,Matt Cartwright,11
HSII,B001292,minority,02272,,Donald S. Beyer Jr.,12
HSII,T000474,minority,02231,,Norma J. Torres,13
HSII,D000624,minority,02251,,Debbie Dingell,14
HSII,G000574,minority,02226,,Ruben Gallego,15
HSII,C001036,minority,01471,,Lois Capps,16
HSII,P000598,minority,01910,,Jared Polis,17
HSAP19,C001048,majority,01670,Chair,John Abney Culberson,1
HSAP19,A000055,majority,01460,Vice Chair,Robert B. Aderholt,2
HSAP19,C001051,majority,01752,,John R. Carter,3
HSAP19,H001056,majority,02071,,Jaime Herrera Beutler,4
HSAP19,R000591,majority,01986,,Martha Roby,5
HSAP19,J000296,majority,02199,,David W. Jolly,6
HSAP19,P000601,majority,02035,,Steven M. Palazzo,7
HSAP19,F000043,minority,00371,Ranking Member,Chaka Fattah,1
HSAP19,H001034,minority,01634,,Michael M. Honda,2
HSAP19,S000248,minority,01042,,José E. Serrano,3
HSAP19,K000381,minority,02169,,Derek Kilmer,4
HSII10,M001177,majority,01908,Chair,Tom McClintock,1
HSII10,Y000033,majority,01256,,Don Young,2
HSII10,G000552,majority,01801,,Louie Gohmert,3
HSII10,T000467,majority,01952,,Glenn Thompson,4
HSII10,L000571,majority,01960,,Cynthia M. Lummis,5
HSII10,L000573,majority,02011,,Raúl R. Labrador,6
HSII10,L000578,majority,02100,,Doug LaMalfa,7
HSII10,W000821,majority,02224,,Bruce Westerman,8
HSII10,N000189,majority,02275,,Dan Newhouse,9
HSII10,Z000018,majority,02254,,Ryan K. Zinke,10
HSII10,H001071,majority,02237,,Jody B. Hice,11
HSII10,M001193,majority,02258,,Thomas MacArthur,12
HSII10,H001070,majority,02260,,Cresent Hardy,13
HSII10,B001250,majority,01753,Ex Officio,Rob Bishop,15
HSII10,T000465,minority,01884,Ranking Member,Niki Tsongas,1
HSII10,C001090,minority,02159,,Matt Cartwright,2
HSII10,B001292,minority,02272,,Donald S. Beyer Jr.,3
HSII10,P000596,minority,01953,,Pedro R. Pierluisi,4
HSII10,H001068,minority,02101,,Jared Huffman,5
HSII10,L000579,minority,02111,,Alan S. Lowenthal,6
HSII10,D000624,minority,02251,,Debbie Dingell,7
HSII10,C001036,minority,01471,,Lois Capps,8
HSII10,P000598,minority,01910,,Jared Polis,9
HSII10,G000551,minority,01708,Ex Officio,Raúl M. Grijalva,13
SSAP20,G000359,majority,00452,Chairman,Lindsey Graham,1
SSAP20,M000355,majority,01395,,Mitch McConnell,2
SSAP20,K000360,majority,01647,,Mark Kirk,3
SSAP20,B000575,majority,01464,,Roy Blunt,4
SSAP20,B001236,majority,01687,,John Boozman,5
SSAP20,M000934,majority,01507,,Jerry Moran,6
SSAP20,L000575,majority,02050,,James Lankford,7
SSAP20,D000618,majority,02138,,Steve Daines,8
SSAP20,C000567,majority,00213,Ex Officio,Thad Cochran,9
SSAP20,L000174,minority,01383,Ranking Member,Patrick J. Leahy,1
SSAP20,M000702,minority,00802,,Barbara A. Mikulski,2
SSAP20,D000563,minority,00326,,Richard J. Durbin,3
SSAP20,S001181,minority,01901,,Jeanne Shaheen,4
SSAP20,C001088,minority,01984,,Christopher A. Coons,5
SSAP20,M001176,minority,01900,,Jeff Merkley,6
SSAP20,M001169,minority,01837,,Christopher Murphy,7
SSAS13,W000437,majority,01226,Chairman,Roger F. Wicker,1
SSAS13,S001141,majority,01548,,Jeff Sessions,2
SSAS13,A000368,majority,02075,,Kelly Ayotte,3
